transaction_id,grant_id,fiscal_year,period,period_date,budget_line,appropriation,budgeted,obligated,expended,cost_center,source_system,classification
ERP-MOCK-2026-00001,MOCK-ONR-N00014-24-C-0001,2026,2026-01,2026-01-01,Basic Research,6.1,104166.67,55781.25,39843.75,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00002,MOCK-ONR-N00014-24-C-0001,2026,2026-01,2026-01-31,Advanced Technology Dev,6.1,104166.67,55781.25,44093.75,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00003,MOCK-ONR-N00014-24-C-0001,2026,2026-03,2026-03-02,Advanced Technology Dev,6.1,104166.67,55781.25,48343.75,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00004,MOCK-ONR-N00014-24-C-0001,2026,2026-04,2026-04-01,Basic Research,6.1,104166.67,55781.25,39843.75,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00005,MOCK-ONR-N00014-24-C-0001,2026,2026-05,2026-05-01,Advanced Technology Dev,6.1,104166.67,55781.25,44093.75,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00006,MOCK-ONR-N00014-24-C-0001,2026,2026-05,2026-05-31,Advanced Technology Dev,6.1,104166.67,55781.25,48343.75,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00007,MOCK-ONR-N00014-24-C-0001,2026,2026-06,2026-06-30,Basic Research,6.1,104166.67,55781.25,39843.75,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00008,MOCK-ONR-N00014-24-C-0001,2026,2026-07,2026-07-30,Basic Research,6.1,104166.67,55781.25,44093.75,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00009,MOCK-ONR-N00014-25-C-0002,2026,2026-01,2026-01-01,Advanced Technology Dev,6.1,29166.67,11943.75,8531.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00010,MOCK-ONR-N00014-25-C-0002,2026,2026-01,2026-01-31,RDT&E Management Support,6.1,29166.67,11943.75,9441.25,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00011,MOCK-ONR-N00014-25-C-0002,2026,2026-03,2026-03-02,Basic Research,6.1,29166.67,11943.75,10351.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00012,MOCK-ONR-N00014-25-C-0002,2026,2026-04,2026-04-01,RDT&E Management Support,6.1,29166.67,11943.75,8531.25,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00013,MOCK-ONR-N00014-25-C-0002,2026,2026-05,2026-05-01,Advanced Technology Dev,6.1,29166.67,11943.75,9441.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00014,MOCK-ONR-N00014-25-C-0002,2026,2026-05,2026-05-31,Advanced Technology Dev,6.1,29166.67,11943.75,10351.25,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00015,MOCK-ONR-N00014-25-C-0002,2026,2026-06,2026-06-30,Advanced Technology Dev,6.1,29166.67,11943.75,8531.25,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00016,MOCK-ONR-N00014-25-C-0002,2026,2026-07,2026-07-30,Advanced Technology Dev,6.1,29166.67,11943.75,9441.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00017,MOCK-ONR-N00014-24-C-0003,2026,2026-01,2026-01-01,RDT&E Management Support,6.1,104166.67,64531.25,46093.75,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00018,MOCK-ONR-N00014-24-C-0003,2026,2026-01,2026-01-31,RDT&E Management Support,6.1,104166.67,64531.25,51010.42,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00019,MOCK-ONR-N00014-24-C-0003,2026,2026-03,2026-03-02,RDT&E Management Support,6.1,104166.67,64531.25,55927.08,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00020,MOCK-ONR-N00014-24-C-0003,2026,2026-04,2026-04-01,Advanced Technology Dev,6.1,104166.67,64531.25,46093.75,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00021,MOCK-ONR-N00014-24-C-0003,2026,2026-05,2026-05-01,Basic Research,6.1,104166.67,64531.25,51010.42,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00022,MOCK-ONR-N00014-24-C-0003,2026,2026-05,2026-05-31,Basic Research,6.1,104166.67,64531.25,55927.08,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00023,MOCK-ONR-N00014-24-C-0003,2026,2026-06,2026-06-30,Applied Research,6.1,104166.67,64531.25,46093.75,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00024,MOCK-ONR-N00014-24-C-0003,2026,2026-07,2026-07-30,Basic Research,6.1,104166.67,64531.25,51010.42,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00025,MOCK-ONR-N00014-25-C-0004,2026,2026-01,2026-01-01,Basic Research,6.2,104166.67,60156.25,42968.75,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00026,MOCK-ONR-N00014-25-C-0004,2026,2026-01,2026-01-31,RDT&E Management Support,6.2,104166.67,60156.25,47552.08,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00027,MOCK-ONR-N00014-25-C-0004,2026,2026-03,2026-03-02,RDT&E Management Support,6.2,104166.67,60156.25,52135.42,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00028,MOCK-ONR-N00014-25-C-0004,2026,2026-04,2026-04-01,Applied Research,6.2,104166.67,60156.25,42968.75,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
